1-1A : 1300|1069|1069|780|780|0|0|0|0|780|1400|1400 
1-1B : 1240|1240|1000|880|880|0|0|0|0|980|1290|1240 
1-2A : 860|860|860|680|680|0|0|0|0|680|860|860 
1-2B : 900|900|900|680|680|0|0|0|0|680|860|860 
1-3A : 860|860|860|680|680|0|0|0|0|680|860|860 
1-3B : 860|860|860|680|680|0|0|0|0|680|860|860 
1-4A : 940|940|940|780|780|0|0|0|0|780|940|940  
1-4B : 940|940|940|780|780|0|0|0|0|780|940|940 
3-1A : 1340|1240|1000|880|880|0|0|0|0|980|1290|1240 
3-1B : 1240|1240|1000|880|880|0|0|0|0|980|1290|1240 
3-2A : 930|940|900|680|680|0|0|0|0|680|860|8600 
3-2B : 980|990|1000|680|680|0|0|0|0|680|860|860
3-3A : 960|940|780|680|680|0|0|0|0|680|960|960 
3-3B : 860|860|860|680|680|0|0|0|0|680|860|860 
3-4A : 940|940|940|780|780|0|0|0|0|780|940|940  
3-4B : 900|900|740|680|780|0|0|0|0|780|940|940  
5-1A : 1500|1469|1069|780|780|0|0|0|0|780|1500|1500 
5-1B : 1200|1369|1069|780|780|0|0|0|0|780|1400|1400 
5-2A : 900|900|900|680|680|0|0|0|0|680|860|860 
5-2B : 860|860|860|680|680|0|0|0|0|680|860|860
5-3A : 960|960|960|680|680|0|0|0|0|680|860|860
5-3B : 860|860|860|680|680|0|0|0|0|680|860|860
5-4A : 990|990|940|780|780|0|0|0|0|780|1200|1300
5-4B : 940|940|940|780|780|0|0|0|0|780|940|940
7-1A  : 1200|1069|1069|780|780|0|0|0|0|780|1500|1500 
7-1B  : 1400|1069|1069|780|780|0|0|0|0|780|1400|1400 
7-2A  : 930|940|900|680|680|0|0|0|0|680|860|8600
7-2B  : 930|940|900|680|680|0|0|0|0|680|860|8600
7-3A  : 860|860|860|680|680|0|0|0|0|680|860|860
7-3B  : 860|860|860|680|680|0|0|0|0|680|860|860
7-4A  : 900|900|740|680|780|0|0|0|0|780|940|940  
7-4B : 1200|1369|1069|780|780|0|0|0|0|780|1400|1400
